Column,Category,Count,Percentage
Sex,1.0,1172304,46.78823397469541
Sex,2.0,994599,39.695787716324496
Sex,0.0,378,0.015086489888659311
Sex,3.0,33,0.0013170745140893049
Race,1,1161107,46.34134660093002
Race,0,775388,30.94678101002054
Race,2,404927,16.16118278080727
Race,3,109915,4.38685591564018
Race,4,42079,1.6794296508595108
Race,5,8612,0.34371653682839676
Race,6,3525,0.14068750491408485
Body Part Category,Head/Neck/Face,823344,32.860769658434684
Body Part Category,UpperExt,658532,26.282900421583577
Body Part Category,LowerExt,532028,21.233955138845594
Body Part Category,Trunk,355998,14.20836038990195
Body Part Category,Other/Multiple,135651,5.414014391234191
Diagnosis Category,Contusion/Hematoma/Internal,685082,27.342546735191792
Diagnosis Category,Other/Dental/Nerve/Skin,497123,19.840849505079316
Diagnosis Category,Laceration/Puncture/Avulsion/Amputation,449361,17.934603658354064
Diagnosis Category,Fracture,396587,15.828322130882883
Diagnosis Category,Strain/Sprain/Dislocation,314367,12.546811023354923
Diagnosis Category,ForeignBody/Aspiration/Ingestion,77911,3.109533105067025
Diagnosis Category,Burns,42594,1.6999839955490863
Diagnosis Category,Poisoning/Environmental,42528,1.6973498465209076
Age Category,25-44,415735,16.592544639845975
Age Category,45-64,379188,15.133904571166527
Age Category,0-4,362763,14.478360665290257
Age Category,15-24,351040,14.010479921997259
Age Category,10-14,289475,11.55333772624247
Age Category,5-9,248922,9.934812793822362
Age Category,65-74,182551,7.285856655197476
Age Category,75-84,156005,6.22636998698491
Age Category,85+,119874,4.7843330394527674
Product Category,Other,1121756,44.77079510990188
Product Category,Sports/Recreation,496913,19.83246812180784
Product Category,Home/Structures,372314,14.859553958746833
Product Category,Home/Furniture,360471,14.386883853584417
Product Category,Home/Bathroom,76780,3.0643933694477825
Product Category,Apparel/Personal,63640,2.5399582447467686
Product Category,Home/Tools,13679,0.5459473417644727
Season,Summer,668890,26.696302173611976
Season,Spring,651803,26.014336954756097
Season,Fall,639046,25.5051878766883
Season,Winter,545814,21.78417299494363
Disposition,1,2182529,87.10767642911564
Disposition,4,232283,9.270727859278969
Disposition,6,45128,1.8011193536915802
Disposition,2,23517,0.9385951923587328
Disposition,5,20229,0.8073666771367439
Disposition,8,1772,0.07072291027170449
Disposition,9,95,0.0037915781466207263
Location,1,1018455,40.64791285596433
Location,0,782670,31.237415452796245
Location,9,336950,13.448129015830038
Location,5,185266,7.394215967493005
Location,8,123313,4.921588168360437
Location,4,57259,2.285283927340591
Location,2,894,0.03568074592714662
Location,6,517,0.020634167387399108
Location,7,229,0.00913969890080154
Fire Involvement,0,2493627,99.52401725287791
Fire Involvement,3,5595,0.2233039971615049
Fire Involvement,1,3442,0.13737486295440568
Fire Involvement,2,2889,0.11530388700618187
